
Democratic %
state                     min      max      avg      std      med      mad
Kansas                   0.00    51.60     6.70    10.81     2.31     1.93
Maryland                 0.00    91.10     6.84    16.59     2.13     1.52
Wyoming                  0.00    49.48     6.91    11.45     2.38     2.12
Nevada                   0.00    67.60     7.19    14.11     1.65     1.65
South Dakota             0.00    57.93     7.56    13.40     2.11     2.11
Oregon                   0.00    40.36     7.65    10.52     3.71     2.74
Montana                  0.00    41.81     7.67    10.38     3.50     2.99
Arkansas                 0.00    90.10     7.74    15.91     2.48     2.21
California               0.00    57.61     7.85    12.12     3.08     2.53
North Dakota             0.06    51.50     8.23    13.20     2.77     2.06
Georgia                  0.00    89.10     8.44    16.85     0.84     0.84
Idaho                    0.00    55.69     8.54    13.11     2.92     2.81
Texas                    0.00    99.97     8.67    17.01     2.72     2.54
Washington               0.65    51.28     8.96    11.68     4.58     3.47
Alaska                   0.00    30.25     9.01     8.30     6.45     5.62
Tennessee                0.00   100.00     9.27    22.10     1.44     1.04
Colorado                 0.39   100.00     9.62    19.32     3.08     1.84
South Carolina           0.00   100.00     9.74    24.61     1.02     1.02
Louisiana                0.00   100.00    10.81    22.81     1.67     1.66
Alabama                  0.00    84.90    10.99    21.50     1.99     1.61
Mississippi              0.00    95.30    11.00    23.08     2.04     1.84
Florida                  0.00   100.00    11.27    22.51     1.87     1.87

Other % sorted by std
state                     min      max      avg      std      med      mad
D.C.                     0.00    11.70     3.23     3.33     1.83     1.67
Hawaii                   0.00    15.21     4.15     5.16     1.47     1.47
New Hampshire            0.00    23.40     3.24     5.44     1.35     1.17
New Mexico               0.09    22.70     4.11     5.65     1.24     1.10
Rhode Island             0.00    25.40     3.97     5.90     2.06     2.00
Indiana                  0.00    33.82     4.21     6.23     2.34     1.87
Connecticut              0.00    24.96     4.46     6.37     2.54     1.78
Ohio                     0.00    32.22     4.33     6.50     2.07     2.07
West Virginia            0.00    36.78     3.31     6.57     1.06     1.06
Oklahoma                 0.00    23.33     4.64     6.91     0.81     0.81
Massachusetts            0.00    32.52     5.30     7.00     2.72     2.37
Vermont                  0.00    38.44     4.37     7.47     2.03     1.69
Illinois                 0.00    42.53     4.84     7.61     2.61     2.12
Michigan                 0.00    45.01     4.81     7.63     2.76     2.13
Iowa                     0.00    38.03     4.89     7.65     2.20     1.54
Maine                    0.00    40.09     4.50     8.01     2.04     1.86
Alaska                   0.00    30.25     9.01     8.30     6.45     5.62
U. S.                    0.00    38.85     6.05     8.85     2.84     2.18
Utah                     0.00    31.99     6.05     8.96     2.46     2.43
New York                 0.00    46.30     5.68     9.03     2.77     2.41
Pennsylvania             0.00    45.06     5.71     9.66     2.49     1.99
Wisconsin                0.00    54.84     5.91     9.66     3.02     2.54
Nebraska                 0.00    43.98     5.90     9.94     2.17     2.17
Arizona                  0.00    43.74     6.21     9.95     2.39     2.27
New Jersey               0.00    51.90     5.74    10.34     2.61     1.72
Montana                  0.00    41.81     7.67    10.38     3.50     2.99
Minnesota                0.00    48.91     6.60    10.39     2.72     2.31
Oregon                   0.00    40.36     7.65    10.52     3.71     2.74
Kansas                   0.00    51.60     6.70    10.81     2.31     1.93
Wyoming                  0.00    49.48     6.91    11.45     2.38     2.12
Missouri                 0.00    54.20     5.72    11.47     1.28     1.28
Washington               0.65    51.28     8.96    11.68     4.58     3.47
California               0.00    57.61     7.85    12.12     3.08     2.53
Delaware                 0.00    69.70     5.66    12.99     1.34     0.97
Idaho                    0.00    55.69     8.54    13.11     2.92     2.81
North Dakota             0.06    51.50     8.23    13.20     2.77     2.06
South Dakota             0.00    57.93     7.56    13.40     2.11     2.11
Nevada                   0.00    67.60     7.19    14.11     1.65     1.65
Kentucky                 0.00    81.60     6.28    14.84     1.68     1.19
Virginia                 0.00    89.20     6.58    15.68     1.18     0.93
Arkansas                 0.00    90.10     7.74    15.91     2.48     2.21
Maryland                 0.00    91.10     6.84    16.59     2.13     1.52
Georgia                  0.00    89.10     8.44    16.85     0.84     0.84
Texas                    0.00    99.97     8.67    17.01     2.72     2.54
North Carolina           0.00    97.20     6.69    17.53     0.53     0.53
Colorado                 0.39   100.00     9.62    19.32     3.08     1.84
Alabama                  0.00    84.90    10.99    21.50     1.99     1.61
Tennessee                0.00   100.00     9.27    22.10     1.44     1.04
Florida                  0.00   100.00    11.27    22.51     1.87     1.87
Louisiana                0.00   100.00    10.81    22.81     1.67     1.66
Mississippi              0.00    95.30    11.00    23.08     2.04     1.84
South Carolina           0.00   100.00     9.74    24.61     1.02     1.02

Other % sorted by med
state                     min      max      avg      std      med      mad
North Carolina           0.00    97.20     6.69    17.53     0.53     0.53
Oklahoma                 0.00    23.33     4.64     6.91     0.81     0.81
Georgia                  0.00    89.10     8.44    16.85     0.84     0.84
South Carolina           0.00   100.00     9.74    24.61     1.02     1.02
West Virginia            0.00    36.78     3.31     6.57     1.06     1.06
Virginia                 0.00    89.20     6.58    15.68     1.18     0.93
New Mexico               0.09    22.70     4.11     5.65     1.24     1.10
Missouri                 0.00    54.20     5.72    11.47     1.28     1.28
Delaware                 0.00    69.70     5.66    12.99     1.34     0.97
New Hampshire            0.00    23.40     3.24     5.44     1.35     1.17
Tennessee                0.00   100.00     9.27    22.10     1.44     1.04
Hawaii                   0.00    15.21     4.15     5.16     1.47     1.47
Nevada                   0.00    67.60     7.19    14.11     1.65     1.65
Louisiana                0.00   100.00    10.81    22.81     1.67     1.66
Kentucky                 0.00    81.60     6.28    14.84     1.68     1.19
D.C.                     0.00    11.70     3.23     3.33     1.83     1.67
Florida                  0.00   100.00    11.27    22.51     1.87     1.87
Alabama                  0.00    84.90    10.99    21.50     1.99     1.61
Vermont                  0.00    38.44     4.37     7.47     2.03     1.69
Mississippi              0.00    95.30    11.00    23.08     2.04     1.84
Maine                    0.00    40.09     4.50     8.01     2.04     1.86
Rhode Island             0.00    25.40     3.97     5.90     2.06     2.00
Ohio                     0.00    32.22     4.33     6.50     2.07     2.07
South Dakota             0.00    57.93     7.56    13.40     2.11     2.11
Maryland                 0.00    91.10     6.84    16.59     2.13     1.52
Nebraska                 0.00    43.98     5.90     9.94     2.17     2.17
Iowa                     0.00    38.03     4.89     7.65     2.20     1.54
Kansas                   0.00    51.60     6.70    10.81     2.31     1.93
Indiana                  0.00    33.82     4.21     6.23     2.34     1.87
Wyoming                  0.00    49.48     6.91    11.45     2.38     2.12
Arizona                  0.00    43.74     6.21     9.95     2.39     2.27
Utah                     0.00    31.99     6.05     8.96     2.46     2.43
Arkansas                 0.00    90.10     7.74    15.91     2.48     2.21
Pennsylvania             0.00    45.06     5.71     9.66     2.49     1.99
Connecticut              0.00    24.96     4.46     6.37     2.54     1.78
Illinois                 0.00    42.53     4.84     7.61     2.61     2.12
New Jersey               0.00    51.90     5.74    10.34     2.61     1.72
Minnesota                0.00    48.91     6.60    10.39     2.72     2.31
Massachusetts            0.00    32.52     5.30     7.00     2.72     2.37
Texas                    0.00    99.97     8.67    17.01     2.72     2.54
Michigan                 0.00    45.01     4.81     7.63     2.76     2.13
North Dakota             0.06    51.50     8.23    13.20     2.77     2.06
New York                 0.00    46.30     5.68     9.03     2.77     2.41
U. S.                    0.00    38.85     6.05     8.85     2.84     2.18
Idaho                    0.00    55.69     8.54    13.11     2.92     2.81
Wisconsin                0.00    54.84     5.91     9.66     3.02     2.54
California               0.00    57.61     7.85    12.12     3.08     2.53
Colorado                 0.39   100.00     9.62    19.32     3.08     1.84
Montana                  0.00    41.81     7.67    10.38     3.50     2.99
Oregon                   0.00    40.36     7.65    10.52     3.71     2.74
Washington               0.65    51.28     8.96    11.68     4.58     3.47
Alaska                   0.00    30.25     9.01     8.30     6.45     5.62

Other % sorted by mad
state                     min      max      avg      std      med      mad
North Carolina           0.00    97.20     6.69    17.53     0.53     0.53
Oklahoma                 0.00    23.33     4.64     6.91     0.81     0.81
Georgia                  0.00    89.10     8.44    16.85     0.84     0.84
Virginia                 0.00    89.20     6.58    15.68     1.18     0.93
Delaware                 0.00    69.70     5.66    12.99     1.34     0.97
South Carolina           0.00   100.00     9.74    24.61     1.02     1.02
Tennessee                0.00   100.00     9.27    22.10     1.44     1.04
West Virginia            0.00    36.78     3.31     6.57     1.06     1.06
New Mexico               0.09    22.70     4.11     5.65     1.24     1.10
New Hampshire            0.00    23.40     3.24     5.44     1.35     1.17
Kentucky                 0.00    81.60     6.28    14.84     1.68     1.19
Missouri                 0.00    54.20     5.72    11.47     1.28     1.28
Hawaii                   0.00    15.21     4.15     5.16     1.47     1.47
Maryland                 0.00    91.10     6.84    16.59     2.13     1.52
Iowa                     0.00    38.03     4.89     7.65     2.20     1.54
Alabama                  0.00    84.90    10.99    21.50     1.99     1.61
Nevada                   0.00    67.60     7.19    14.11     1.65     1.65
Louisiana                0.00   100.00    10.81    22.81     1.67     1.66
D.C.                     0.00    11.70     3.23     3.33     1.83     1.67
Vermont                  0.00    38.44     4.37     7.47     2.03     1.69
New Jersey               0.00    51.90     5.74    10.34     2.61     1.72
Connecticut              0.00    24.96     4.46     6.37     2.54     1.78
Mississippi              0.00    95.30    11.00    23.08     2.04     1.84
Colorado                 0.39   100.00     9.62    19.32     3.08     1.84
Maine                    0.00    40.09     4.50     8.01     2.04     1.86
Indiana                  0.00    33.82     4.21     6.23     2.34     1.87
Florida                  0.00   100.00    11.27    22.51     1.87     1.87
Kansas                   0.00    51.60     6.70    10.81     2.31     1.93
Pennsylvania             0.00    45.06     5.71     9.66     2.49     1.99
Rhode Island             0.00    25.40     3.97     5.90     2.06     2.00
North Dakota             0.06    51.50     8.23    13.20     2.77     2.06
Ohio                     0.00    32.22     4.33     6.50     2.07     2.07
South Dakota             0.00    57.93     7.56    13.40     2.11     2.11
Illinois                 0.00    42.53     4.84     7.61     2.61     2.12
Wyoming                  0.00    49.48     6.91    11.45     2.38     2.12
Michigan                 0.00    45.01     4.81     7.63     2.76     2.13
Nebraska                 0.00    43.98     5.90     9.94     2.17     2.17
U. S.                    0.00    38.85     6.05     8.85     2.84     2.18
Arkansas                 0.00    90.10     7.74    15.91     2.48     2.21
Arizona                  0.00    43.74     6.21     9.95     2.39     2.27
Minnesota                0.00    48.91     6.60    10.39     2.72     2.31
Massachusetts            0.00    32.52     5.30     7.00     2.72     2.37
New York                 0.00    46.30     5.68     9.03     2.77     2.41
Utah                     0.00    31.99     6.05     8.96     2.46     2.43
California               0.00    57.61     7.85    12.12     3.08     2.53
Wisconsin                0.00    54.84     5.91     9.66     3.02     2.54
Texas                    0.00    99.97     8.67    17.01     2.72     2.54
Oregon                   0.00    40.36     7.65    10.52     3.71     2.74
Idaho                    0.00    55.69     8.54    13.11     2.92     2.81
Montana                  0.00    41.81     7.67    10.38     3.50     2.99
Washington               0.65    51.28     8.96    11.68     4.58     3.47
Alaska                   0.00    30.25     9.01     8.30     6.45     5.62
